Latvia,130,140,105,80,90,45,85,65,70,50,45
Lebanon,2110,1910,1365,1505,1965,1280,1830,4095,4555,4330,2225
Lesotho,,10,,5,10,,5,,,5,10
Liberia,155,155,55,85,55,25,55,85,85,125,105
Libya,240,305,500,460,615,500,885,580,485,330,260
Liechtenstein,0,0,0,0,0,0,,,,0,0
Lithuania,130,190,145,135,125,75,95,80,85,75,40
Luxembourg,10,5,5,5,15,10,10,20,10,10,15
Macau SAR,20,25,30,30,30,15,25,20,30,25,5
Macedonia,220,135,90,90,100,40,85,55,80,65,50
Madagascar,115,135,120,150,125,85,225,335,345,695,815
Malawi,25,20,20,20,15,20,35,30,50,60,35
Malaysia,330,360,360,430,365,230,405,300,380,365,255
"Maldives, Republic of",,,,,5,,5,5,,,5
"Mali, Republic of",190,205,180,270,330,155,270,385,435,480,625
Malta,10,5,10,15,10,5,10,5,5,10,5
"Marshall Islands, Republic of the",0,0,0,,0,0,0,0,0,0,0
Mauritania,105,50,65,70,80,40,80,80,125,125,145
Mauritius,715,550,725,560,795,420,690,1020,1155,1710,1635
Mexico,3220,3390,3135,3310,3460,2430,5145,5220,5735,6415,5415
"Micronesia, Federated States of",0,0,0,0,0,0,,,0,,0
Moldova,925,1090,680,405,275,180,235,220,140,125,165
Monaco,,,,0,,,,0,,,
"Mongolia, People's Republic of",45,95,85,85,85,60,140,100,135,130,100
"Montenegro, Republic of",25,25,10,25,20,10,15,15,15,25,10
Morocco,2705,2110,2265,2780,3025,2980,2950,6390,6410,7635,6920
Mozambique,10,,5,5,10,10,15,5,15,10,10
Myanmar (Burma),440,425,180,185,210,60,125,190,260,345,215
Namibia,100,70,120,135,110,70,70,75,80,55,30
Nauru,0,0,0,0,0,0,0,,0,0,0
Nepal,1525,755,1110,1400,1410,565,1020,1440,1760,2005,2005
"Netherlands Antilles, The",0,0,0,0,,0,0,0,0,0,0
"Netherlands, The",540,520,495,530,560,305,510,395,435,375,280
Nevis,0,,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,,0,,0,0
New Zealand,335,495,410,445,600,390,770,405,405,420,285
Nicaragua,95,75,100,130,100,75,335,300,270,360,285
"Niger, Republic of the",80,90,60,65,50,40,80,100,105,115,130
Nigeria,4090,4415,5445,10920,12600,6360,15595,22130,17465,20395,16340
"Northern Mariana Islands, Commonwealth of the",0,0,0,0,0,0,,0,0,0,
Norway,50,90,70,75,75,45,80,50,70,60,55
Oman,,,10,10,10,10,20,15,20,,10
Other,10,10,10,15,15,15,45,5,10,25,15
Pakistan,11300,11350,7655,9490,10795,6230,8480,11600,11860,11960,8885
"Palau, Republic of",0,0,0,,,0,0,,,,0
Palestinian Authority (Gaza/West Bank),400,405,320,455,580,480,985,865,725,775,345
"Panama, Republic of",45,45,60,50,85,35,130,65,70,85,70
Papua New Guinea,5,5,5,,0,0,,10,,,
Paraguay,35,45,60,65,100,40,40,35,50,70,35
Peru,555,440,420,545,500,260,670,665,750,945,985
Philippines,50840,41850,40905,35050,27820,10975,18020,22095,26965,32320,25215
Poland,975,1000,995,905,905,415,680,510,540,435,260
